"SITECODE","BIOGEFRAPHICREG","PERCENTAGE"
"PTCON0001","Atlantic",0
"PTCON0001","Mediterranean",0
"PTCON0002","Mediterranean",100
"PTCON0003","Mediterranean",100
"PTCON0004","Mediterranean",100
"PTCON0005","Mediterranean",100
"PTCON0006","Mediterranean",100
"PTCON0007","Mediterranean",100
"PTCON0008","Mediterranean",49.47
"PTCON0008","Marine Atlantic",50.53
"PTCON0009","Mediterranean",100
"PTCON0010","Mediterranean",73.32
"PTCON0010","Marine Atlantic",26.68
"PTCON0011","Mediterranean",100
"PTCON0012","Marine Atlantic",15.25
"PTCON0012","Mediterranean",84.75
"PTCON0013","Mediterranean",100
"PTCON0014","Mediterranean",100
"PTCON0015","Mediterranean",100
"PTCON0016","Mediterranean",100
"PTCON0017","Marine Atlantic",33.22
"PTCON0017","Atlantic",66.78
"PTCON0018","Mediterranean",100
"PTCON0019","Atlantic",100
"PTCON0020","Atlantic",100
"PTCON0021","Mediterranean",100
"PTCON0022","Mediterranean",100
"PTCON0023","Mediterranean",100
"PTCON0024","Atlantic",100
"PTCON0025","Mediterranean",100
"PTCON0026","Mediterranean",100
"PTCON0027","Mediterranean",100
"PTCON0028","Mediterranean",100
"PTCON0029","Mediterranean",100
"PTCON0030","Mediterranean",100
"PTCON0031","Mediterranean",100
"PTCON0032","Mediterranean",100
"PTCON0033","Mediterranean",100
"PTCON0034","Mediterranean",100
"PTCON0035","Mediterranean",100
"PTCON0036","Mediterranean",100
"PTCON0037","Mediterranean",100
"PTCON0038","Mediterranean",100
"PTCON0039","Atlantic",100
"PTCON0040","Atlantic",100
"PTCON0041","Mediterranean",100
"PTCON0042","Mediterranean",100
"PTCON0043","Mediterranean",100
"PTCON0044","Mediterranean",100
"PTCON0045","Mediterranean",100
"PTCON0046","Mediterranean",100
"PTCON0047","Mediterranean",100
"PTCON0048","Mediterranean",100
"PTCON0049","Mediterranean",100
"PTCON0050","Mediterranean",100
"PTCON0051","Mediterranean",100
"PTCON0052","Mediterranean",100
"PTCON0053","Mediterranean",100
"PTCON0054","Mediterranean",100
"PTCON0055","Mediterranean",100
"PTCON0056","Mediterranean",33.93
"PTCON0056","Marine Atlantic",66.07
"PTCON0057","Mediterranean",100
"PTCON0058","Mediterranean",100
"PTCON0059","Mediterranean",100
"PTCON0060","Mediterranean",100
"PTCON0061","Mediterranean",93.02
"PTCON0061","Marine Atlantic",6.98
"PTCON0062","Marine Atlantic",100
"PTCOR0001","Macaronesian",77
"PTCOR0001","Marine Macaronesian",23
"PTDES0001","Macaronesian",2.19
"PTDES0001","Marine Macaronesian",87.81
"PTFAI0004","Marine Macaronesian",11
"PTFAI0004","Macaronesian",89
"PTFAI0005","Marine Macaronesian",74
"PTFAI0005","Macaronesian",26
"PTFAI0006","Macaronesian",100
"PTFAI0007","Marine Macaronesian",81
"PTFAI0007","Macaronesian",19
"PTFLO0002","Macaronesian",100
"PTFLO0003","Marine Macaronesian",83
"PTFLO0003","Macaronesian",17
"PTGRA0015","Macaronesian",13
"PTGRA0015","Marine Macaronesian",87
"PTGRA0016","Macaronesian",100
"PTJOR0013","Marine Macaronesian",46
"PTJOR0013","Macaronesian",54
"PTJOR0014","Marine Macaronesian",10
"PTJOR0014","Macaronesian",90
"PTMAD0001","Macaronesian",100
"PTMAD0002","Macaronesian",100
"PTMAD0003","Macaronesian",8.04
"PTMAD0003","Marine Macaronesian",81.96
"PTMAD0004","Marine Macaronesian",99.9
"PTMAD0004","Macaronesian",0.1
"PTMAD0005","Macaronesian",100
"PTMAD0006","Macaronesian",100
"PTMAD0007","Macaronesian",100
"PTMAD0009","Macaronesian",100
"PTMAD0010","Macaronesian",100
"PTMAD0011","Macaronesian",100
"PTMAD0012","Macaronesian",100
"PTMAD0013","Macaronesian",100
"PTMAD0014","Macaronesian",100
"PTMAD0015","Macaronesian",100
"PTMAZ0001","Marine Macaronesian",100
"PTMAZ0002","Marine Macaronesian",100
"PTMIG0019","Macaronesian",100
"PTMIG0020","Marine Macaronesian",91
"PTMIG0020","Macaronesian",9
"PTMIG0021","Marine Macaronesian",100
"PTMIG0024","Macaronesian",100
"PTMMD0001","Marine Macaronesian",100
"PTPIC0008","Marine Macaronesian",100
"PTPIC0009","Macaronesian",100
"PTPIC0010","Marine Macaronesian",73
"PTPIC0010","Macaronesian",27
"PTPIC0011","Marine Macaronesian",76
"PTPIC0011","Macaronesian",24
"PTPIC0012","Marine Macaronesian",96
"PTPIC0012","Macaronesian",4
"PTPOR0001","Macaronesian",100
"PTPOR0002","Macaronesian",100
"PTSEL0001","Macaronesian",2.97
"PTSEL0001","Marine Macaronesian",97.03
"PTSMA0022","Macaronesian",43
"PTSMA0022","Marine Macaronesian",57
"PTSMA0023","Marine Macaronesian",100
"PTTER0017","Macaronesian",100
"PTTER0018","Macaronesian",21
"PTTER0018","Marine Macaronesian",79
"PTZPE0001","Atlantic",91.81
"PTZPE0001","Marine Atlantic",8.19
"PTZPE0002","Atlantic",0
"PTZPE0002","Mediterranean",0
"PTZPE0003","Mediterranean",100
"PTZPE0004","Mediterranean",59.62
"PTZPE0004","Marine Atlantic",40.38
"PTZPE0005","Mediterranean",100
"PTZPE0006","Mediterranean",100
"PTZPE0007","Mediterranean",100
"PTZPE0008","Mediterranean",100
"PTZPE0009","Mediterranean",0.08
"PTZPE0009","Marine Atlantic",99.92
"PTZPE0010","Mediterranean",100
"PTZPE0011","Mediterranean",100
"PTZPE0012","Mediterranean",100
"PTZPE0013","Marine Atlantic",29.88
"PTZPE0013","Mediterranean",70.12
"PTZPE0014","Mediterranean",47.6
"PTZPE0014","Marine Atlantic",52.4
"PTZPE0015","Mediterranean",47.29
"PTZPE0015","Marine Atlantic",52.71
"PTZPE0016","Mediterranean",100
"PTZPE0017","Marine Atlantic",35.27
"PTZPE0017","Mediterranean",64.73
"PTZPE0018","Mediterranean",100
"PTZPE0020","Macaronesian",100
"PTZPE0021","Macaronesian",100
"PTZPE0022","Macaronesian",100
"PTZPE0023","Macaronesian",100
"PTZPE0024","Macaronesian",80
"PTZPE0024","Marine Macaronesian",20
"PTZPE0025","Macaronesian",100
"PTZPE0026","Macaronesian",100
"PTZPE0027","Macaronesian",100
"PTZPE0028","Macaronesian",100
"PTZPE0029","Macaronesian",100
"PTZPE0030","Macaronesian",100
"PTZPE0031","Macaronesian",100
"PTZPE0032","Macaronesian",100
"PTZPE0033","Macaronesian",100
"PTZPE0034","Macaronesian",100
"PTZPE0037","Mediterranean",100
"PTZPE0038","Mediterranean",100
"PTZPE0039","Mediterranean",100
"PTZPE0040","Mediterranean",100
"PTZPE0041","Macaronesian",100
"PTZPE0042","Mediterranean",100
"PTZPE0043","Mediterranean",100
"PTZPE0045","Mediterranean",100
"PTZPE0046","Mediterranean",100
"PTZPE0047","Mediterranean",100
"PTZPE0049","Mediterranean",100
"PTZPE0050","Mediterranean",5.32
"PTZPE0050","Marine Atlantic",94.68
"PTZPE0051","Mediterranean",100
"PTZPE0052","Mediterranean",100
"PTZPE0053","Mediterranean",100
"PTZPE0054","Mediterranean",100
"PTZPE0055","Mediterranean",100
"PTZPE0056","Mediterranean",100
"PTZPE0057","Mediterranean",100
"PTZPE0058","Mediterranean",100
"PTZPE0059","Mediterranean",100
"PTZPE0060","Marine Atlantic",100
"PTZPE0061","Marine Atlantic",100
"PTZPE0062","Marine Macaronesian",99.77
"PTZPE0062","Macaronesian",0.23
"PTZPE0063","Macaronesian",1.83
"PTZPE0063","Marine Macaronesian",98.17
"PTZPE0064","Marine Macaronesian",66.52
"PTZPE0064","Macaronesian",33.48
"LV0000110","Boreal",0
"LV0000120","Boreal",0
"LV0000130","Boreal",0
"LV0100200","Boreal",0
"LV0100300","Boreal",0
"LV0100400","Boreal",0
"LV0100500","Boreal",0
"LV0200100","Boreal",0
"LV0200200","Boreal",0
"LV0200300","Boreal",0
"LV0300100","Boreal",0
"LV0300400","Boreal",0
"LV0300700","Boreal",0
"LV0300800","Boreal",0
"LV0300900","Boreal",0
"LV0301100","Boreal",0
"LV0301200","Boreal",0
"LV0301300","Boreal",0
"LV0301500","Boreal",0
"LV0301600","Boreal",0
"SE0720361","Alpine",39.86
"SE0720361","Boreal",60.14
"SE0720362","Boreal",100
"SE0720363","Boreal",100
"SE0720364","Boreal",100
"SE0720367","Boreal",100
"SE0720369","Alpine",100
"SE0720370","Boreal",100
"SE0720371","Alpine",100
"SE0720372","Boreal",100
"SE0720374","Boreal",100
"SE0720377","Boreal",100
"SE0720378","Boreal",100
"SE0720382","Boreal",100
"SE0720383","Boreal",100
"SE0720384","Boreal",100
"SE0720385","Boreal",100
"SE0720386","Boreal",100
"SE0720387","Boreal",100
"SE0720388","Boreal",100
"SE0720389","Boreal",100
"SE0720390","Boreal",100
"SE0720391","Boreal",100
"SE0720392","Boreal",100
"SE0720393","Boreal",100
"SE0720394","Boreal",100
"SE0720395","Boreal",100
"SE0720396","Boreal",100
"SE0720397","Boreal",100
"SE0720399","Boreal",100
"SE0720400","Boreal",100
"SE0720401","Alpine",100
"SE0720402","Boreal",100
"SE0720403","Boreal",100
"SE0720404","Boreal",100
"SE0720405","Boreal",100
"SE0720406","Boreal",100
"SE0720409","Alpine",100
"SE0720410","Boreal",100
"SE0720411","Boreal",100
"SE0720412","Boreal",100
"SE0720413","Boreal",100
"SE0720414","Boreal",100
"SE0720415","Boreal",100
"SE0720416","Boreal",100
"SE0720417","Boreal",100
"SE0720418","Boreal",100
"SE0720419","Boreal",100
"SE0720420","Boreal",100
"SE0720423","Alpine",100
"SE0720424","Alpine",100
"SE0720425","Boreal",100
"SE0720426","Boreal",100
"SE0720427","Boreal",100
"SE0720428","Alpine",100
"SE0720429","Boreal",100
"SE0720430","Boreal",100
"SE0720431","Boreal",100
"SE0720432","Boreal",100
"SE0720437","Boreal",100
"SE0720438","Boreal",100
"SE0720439","Boreal",100
"SE0720440","Boreal",100
"SE0720441","Boreal",100
"SE0720442","Alpine",100
"SE0720444","Boreal",100
"SE0720445","Boreal",100
"SE0720446","Boreal",100
"SE0720447","Alpine",100
"SE0720448","Alpine",100
"SE0720449","Alpine",100
"SE0720451","Boreal",100
"SE0720452","Alpine",100
"SE0720453","Alpine",100
"SE0720456","Alpine",100
"SE0720457","Boreal",100
"SE0720458","Boreal",100
"SE0720459","Boreal",100
"SE0720460","Boreal",100
"SE0720461","Boreal",100
"SE0720462","Boreal",100
"SE0720463","Boreal",100
"SE0720464","Alpine",100
"SE0720465","Alpine",100
"SE0720467","Boreal",100
"SE0720468","Boreal",100
"SE0720469","Boreal",100
"SE0720470","Boreal",100
"SE0720471","Boreal",100
"SE0810001","Boreal",100
"SE0810002","Boreal",100
"SE0810003","Boreal",100
"SE0810004","Boreal",100
"SE0810005","Boreal",100
"SE0810007","Boreal",100
"SE0810008","Boreal",100
"SE0810009","Boreal",100
"SE0810010","Boreal",100
"SE0810011","Boreal",100
"SE0810015","Boreal",100
"SE0810016","Boreal",100
"SE0810017","Boreal",100
"SE0810019","Boreal",100
"SE0810024","Boreal",100
"SE0810025","Boreal",100
"SE0810027","Boreal",100
"SE0810029","Boreal",100
"SE0810031","Boreal",100
"SE0810032","Boreal",100
"SE0810033","Boreal",100
"SE0810034","Boreal",100
"SE0810035","Boreal",100
"SE0810036","Boreal",100
"SE0810037","Boreal",100
"SE0810039","Boreal",100
"SE0810045","Boreal",100
"SE0810051","Boreal",100
"SE0810052","Boreal",100
"SE0810054","Alpine",20.5
"SE0810054","Boreal",79.5
"SE0810056","Boreal",100
"SE0810057","Alpine",100
"SE0810058","Alpine",100
"SE0810059","Alpine",99.91
"SE0810059","Boreal",0.09
"SE0810060","Alpine",100
"SE0810062","Boreal",100
"SE0810066","Boreal",100
"SE0810068","Boreal",100
"SE0810069","Boreal",100
"SE0810072","Boreal",100
"SE0810073","Boreal",100
"SE0810076","Boreal",100
"SE0810077","Boreal",100
"SE0810080","Alpine",97.89
"SE0810080","Boreal",2.11
"SE0810081","Boreal",100
"SE0810082","Boreal",100
"SE0810083","Boreal",100
"SE0810084","Boreal",100
"SE0810085","Boreal",100
"SE0810086","Boreal",100
"SE0810088","Boreal",100
"SE0810089","Boreal",100
"SE0810090","Boreal",100
"SE0810091","Boreal",100
"SE0810092","Boreal",100
"SE0810093","Boreal",100
"SE0810094","Boreal",100
"SE0810095","Boreal",100
"SE0810096","Boreal",100
"SE0810097","Boreal",100
"SE0810098","Boreal",100
"SE0810099","Boreal",100
"SE0810100","Boreal",100
"SE0810101","Boreal",100
"SE0810323","Boreal",100
"SE0810324","Boreal",100
"SE0810325","Boreal",100
"SE0810326","Boreal",100
"SE0810327","Boreal",100
"SE0810328","Boreal",100
"SE0810329","Boreal",100
"SE0810330","Boreal",100
"SE0810331","Boreal",100
"SE0810332","Boreal",100
"SE0810333","Boreal",100
"SE0810334","Boreal",100
"SE0810335","Boreal",100
"SE0810336","Boreal",100
"SE0810337","Boreal",100
"SE0810338","Boreal",100
"SE0810339","Boreal",100
"SE0810340","Boreal",100
"SE0810341","Boreal",100
"SE0810342","Boreal",100
"SE0810344","Boreal",100
"SE0810345","Boreal",100
"SE0810346","Boreal",100
"SE0810347","Alpine",100
"SE0810348","Boreal",100
"SE0810349","Boreal",100
"SE0810350","Alpine",100
"SE0810351","Boreal",100
"SE0810353","Boreal",100
"SE0810354","Boreal",100
"SE0810355","Alpine",100
"SE0810357","Boreal",100
"SE0810358","Boreal",100
"SE0810359","Boreal",100
"SE0810360","Boreal",100
"SE0810361","Boreal",100
"SE0810362","Boreal",100
"SE0810364","Boreal",100
"SE0810365","Boreal",100
"SE0810367","Alpine",100
"SE0810368","Boreal",100
"SE0810369","Boreal",100
"SE0810370","Boreal",100
"SE0810371","Boreal",100
"SE0810372","Boreal",100
"SE0810373","Boreal",100
"SE0810374","Alpine",100
"SE0810375","Boreal",100
"SE0810376","Boreal",100
"SE0810377","Alpine",100
"SE0810378","Boreal",100
"SE0810379","Boreal",100
"SE0810380","Boreal",100
"SE0810381","Boreal",100
"SE0810382","Boreal",100
"SE0810383","Boreal",100
"SE0810384","Boreal",100
"SE0810385","Alpine",100
"SE0810386","Alpine",100
"SE0810387","Boreal",100
"SE0810388","Boreal",100
"SE0810389","Boreal",100
"SE0810390","Boreal",100
"SE0810391","Boreal",100
"SE0810392","Boreal",100
"SE0810394","Alpine",100
"SE0810395","Alpine",100
"SE0810396","Alpine",100
"SE0810397","Alpine",100
"SE0810398","Alpine",100
"SE0810399","Alpine",7.92
"SE0810399","Boreal",92.08
"SE0810400","Boreal",100
"SE0810401","Boreal",100
"SE0810402","Boreal",100
"SE0810403","Boreal",100
"SE0810404","Boreal",100
"SE0810405","Boreal",100
"SE0810406","Boreal",100
"SE0810407","Boreal",100
"SE0810408","Boreal",100
"SE0810409","Boreal",100
"SE0810411","Boreal",100
"SE0810412","Boreal",100
"SE0810413","Boreal",100
"SE0810414","Boreal",100
"SE0810415","Boreal",100
"SE0810416","Boreal",100
"SE0810417","Boreal",100
"SE0810418","Boreal",100
"SE0810419","Boreal",100
"SE0810420","Boreal",100
"SE0810421","Boreal",100
"SE0810422","Boreal",100
"SE0810423","Boreal",100
"SE0810424","Boreal",100
"SE0810425","Boreal",100
"SE0810426","Boreal",100
"SE0810427","Boreal",100
"SE0810428","Boreal",100
"SE0810429","Boreal",100
"SE0810430","Boreal",100
"SE0810431","Boreal",100
"SE0810433","Boreal",100
"SE0810434","Boreal",100
"SE0810435","Alpine",3.96
"SE0810435","Boreal",96.04
"SE0810436","Boreal",100
"SE0810437","Boreal",100
"SE0810438","Boreal",100
"SE0810439","Alpine",100
"SE0810440","Boreal",100
"SE0810441","Boreal",100
"SE0810443","Alpine",100
"SE0810444","Boreal",100
"SE0810445","Boreal",100
"SE0810446","Boreal",100
"SE0810447","Boreal",100
"SE0810448","Boreal",100
"SE0810449","Boreal",100
"SE0810450","Boreal",100
"SE0810451","Boreal",100
"SE0810452","Boreal",100
"SE0810453","Boreal",100
"SE0810454","Boreal",100
"SE0810455","Boreal",100
"SE0810456","Boreal",100
"SE0810457","Boreal",100
"SE0810458","Boreal",100
"SE0810459","Boreal",100
"SE0810460","Boreal",100
"SE0810461","Boreal",100
"SE0810462","Boreal",100
"SE0810463","Boreal",100
"SE0810464","Boreal",100
"SE0810465","Boreal",100
"SE0810466","Boreal",100
"SE0810467","Boreal",100
"SE0810468","Boreal",100
"SE0810469","Boreal",100
"SE0810470","Boreal",100
"SE0810471","Boreal",100
"SE0810472","Boreal",100
"SE0810473","Boreal",100
"SE0810474","Boreal",100
"SE0810475","Boreal",100
"SE0810476","Boreal",100
"SE0810477","Boreal",100
"SE0810478","Boreal",100
"SE0810479","Boreal",100
"SE0810480","Boreal",100
"SE0810481","Boreal",100
"SE0810482","Alpine",100
"SE0810483","Boreal",100
"SE0810484","Boreal",100
"SE0810485","Alpine",100
"SE0810486","Boreal",100
"SE0810487","Boreal",100
"SE0810488","Alpine",100
"SE0810489","Boreal",100
"SE0810491","Boreal",100
"SE0810492","Boreal",100
"SE0810493","Boreal",100
"SE0810494","Boreal",100
"SE0810495","Boreal",100
"SE0810496","Boreal",100
"SE0810497","Boreal",100
"SE0810498","Boreal",100
"SE0810499","Boreal",100
"SE0810500","Boreal",100
"SE0810501","Boreal",100
"SE0810502","Boreal",100
"SE0810503","Boreal",100
"SE0810504","Boreal",100
"SE0810505","Boreal",100
"SE0810506","Boreal",100
"SE0810510","Boreal",100
"SE0810512","Boreal",100
"SE0810513","Alpine",72.87
"SE0810513","Boreal",27.13
"SE0810514","Boreal",100
"SE0810515","Boreal",100
"SE0810516","Boreal",100
"SE0810517","Boreal",100
"SE0810518","Boreal",100
"SE0810519","Boreal",100
"SE0820004","Boreal",100
"SE0820007","Boreal",100
"SE0820008","Boreal",100
"SE0820009","Boreal",100
"SE0820010","Boreal",100
"SE0820011","Boreal",100
"SE0820013","Boreal",100
"SE0820015","Boreal",100
"SE0820018","Boreal",100
"SE0820019","Boreal",100
"SE0820020","Boreal",100
"SE0820021","Boreal",100
"SE0820022","Boreal",100
"SE0820023","Boreal",100
"SE0820024","Boreal",100
"SE0820025","Boreal",100
"SE0820027","Boreal",100
"SE0820028","Boreal",100
"SE0820035","Boreal",100
"SE0820042","Boreal",100
"SE0820049","Boreal",100
"SE0820051","Boreal",100
"SE0820052","Boreal",100
"SE0820056","Alpine",85.35
"SE0820056","Boreal",14.65
"SE0820057","Alpine",100
"SE0820061","Alpine",22.04
"SE0820061","Boreal",77.96
"SE0820063","Boreal",100
"SE0820065","Boreal",100
"SE0820066","Boreal",100
"SE0820067","Boreal",100
"SE0820069","Boreal",100
"SE0820070","Boreal",100
"SE0820071","Boreal",100
"SE0820074","Boreal",100
"SE0820075","Boreal",100
"SE0820077","Boreal",100
"SE0820078","Boreal",100
"SE0820079","Boreal",100
"SE0820080","Boreal",100
"SE0820082","Boreal",100
"SE0820083","Boreal",100
"SE0820084","Boreal",100
"SE0820085","Boreal",100
"SE0820086","Boreal",100
"SE0820087","Boreal",100
"SE0820089","Boreal",100
"SE0820090","Boreal",100
"SE0820092","Boreal",100
"SE0820093","Boreal",100
"SE0820095","Boreal",100
"SE0820104","Boreal",100
"SE0820108","Boreal",100
"SE0820110","Boreal",100
"SE0820111","Boreal",100
"SE0820120","Alpine",100
"SE0820123","Alpine",75.72
"SE0820123","Boreal",24.28
"SE0820124","Alpine",93.73
"SE0820124","Boreal",6.27
"SE0820125","Alpine",100
"SE0820126","Boreal",100
"SE0820129","Boreal",100
"SE0820130","Alpine",78.09
"SE0820130","Boreal",21.91
"SE0820131","Boreal",100
"SE0820132","Boreal",100
"SE0820134","Boreal",100
"SE0820137","Alpine",38.48
"SE0820137","Boreal",61.52
"SE0820138","Boreal",100
"SE0820145","Boreal",100
"SE0820146","Boreal",100
"SE0820149","Boreal",100
"SE0820150","Boreal",100
"SE0820151","Boreal",100
"SE0820152","Boreal",100
"SE0820153","Boreal",100
"SE0820154","Alpine",100
"SE0820156","Alpine",95.59
"SE0820156","Boreal",4.41
"SE0820159","Boreal",100
"SE0820160","Boreal",100
"SE0820163","Alpine",100
"SE0820167","Alpine",26.94
"SE0820167","Boreal",73.06
"SE0820170","Boreal",100
"SE0820176","Boreal",100
"SE0820179","Boreal",100
"SE0820180","Boreal",100
"SE0820185","Alpine",100
"SE0820186","Alpine",98.84
"SE0820186","Boreal",1.16
"SE0820189","Boreal",100
"SE0820193","Alpine",96.39
"SE0820193","Boreal",3.61
"SE0820194","Boreal",100
"SE0820195","Boreal",100
"SE0820196","Boreal",100
"SE0820197","Boreal",100
"SE0820199","Boreal",100
"SE0820200","Boreal",100
"SE0820201","Alpine",100
"SE0820202","Alpine",100
"SE0820204","Alpine",100
"SE0820209","Alpine",71.36
"SE0820209","Boreal",28.64
"SE0820211","Boreal",100
"SE0820212","Boreal",100
"SE0820214","Boreal",100
"SE0820216","Alpine",100
"SE0820221","Boreal",100
"SE0820222","Boreal",100
"SE0820223","Boreal",100
"SE0820230","Boreal",100
"SE0820231","Boreal",100
"SE0820234","Alpine",100
"SE0820243","Alpine",99.69
"SE0820243","Boreal",0.31
"SE0820244","Alpine",10.85
"SE0820244","Boreal",89.15
"SE0820251","Boreal",100
"SE0820259","Boreal",100
"SE0820261","Alpine",100
"SE0820263","Boreal",100
"SE0820275","Alpine",100
"SE0820276","Alpine",100
"SE0820280","Boreal",100
"SE0820282","Alpine",90.51
"SE0820282","Boreal",9.49
"SE0820284","Alpine",100
"SE0820287","Alpine",18.25
"SE0820287","Boreal",81.75
"SE0820293","Alpine",100
"SE0820294","Alpine",100
"SE0820295","Alpine",100
"SE0820297","Boreal",100
"SE0820298","Boreal",100
"SE0820299","Boreal",100
"SE0820300","Boreal",100
"SE0820301","Boreal",100
"SE0820302","Boreal",100
"SE0820303","Boreal",100
"SE0820304","Boreal",100
"SE0820305","Boreal",100
"SE0820306","Boreal",100
"SE0820307","Boreal",100
"SE0820309","Boreal",100
"SE0820310","Boreal",100
"SE0820312","Boreal",100
"SE0820313","Boreal",100
"SE0820314","Boreal",100
"SE0820316","Boreal",100
"SE0820317","Boreal",100
"SE0820320","Boreal",100
"SE0820321","Boreal",100
"SE0820322","Boreal",100
"SE0820323","Boreal",100
"SE0820324","Boreal",100
"SE0820327","Boreal",100
"SE0820329","Boreal",100
"SE0820330","Boreal",100
"SE0820332","Boreal",100
"SE0820333","Boreal",100
"SE0820334","Alpine",100
"SE0820335","Boreal",100
"SE0820336","Boreal",100
"SE0820337","Boreal",100
"SE0820340","Boreal",100
"SE0820400","Boreal",100
"SE0820402","Alpine",100
"SE0820403","Boreal",100
"SE0820404","Boreal",100
"SE0820405","Boreal",100
"SE0820406","Boreal",100
"SE0820407","Boreal",100
"SE0820408","Boreal",100
"SE0820409","Boreal",100
"SE0820410","Boreal",100
"SE0820411","Boreal",100
"SE0820412","Boreal",100
"SE0820413","Boreal",100
"SE0820414","Boreal",100
"SE0820415","Boreal",100
"SE0820416","Boreal",100
"SE0820417","Boreal",100
"SE0820418","Boreal",100
"SE0820419","Boreal",100
"SE0820420","Boreal",100
"SE0820421","Boreal",100
"SE0820430","Alpine",56.64
"SE0820430","Boreal",43.36
"SE0820431","Alpine",0.03
"SE0820431","Boreal",99.97
"SE0820432","Boreal",100
"SE0820433","Boreal",100
"SE0820434","Alpine",23.8
"SE0820434","Boreal",76.2
"SE0820450","Boreal",100
"SE0820452","Boreal",100
"SE0820454","Boreal",100
"SE0820455","Boreal",100
"SE0820456","Boreal",100
"SE0820457","Boreal",100
"SE0820458","Boreal",100
"SE0820461","Boreal",100
"SE0820462","Boreal",100
"SE0820463","Boreal",100
"SE0820465","Boreal",100
"SE0820466","Boreal",100
"SE0820467","Boreal",100
"SE0820468","Boreal",100
"SE0820470","Boreal",100
"SE0820471","Boreal",100
"SE0820472","Alpine",100
"SE0820555","Boreal",100
"SE0820613","Boreal",100
"SE0820614","Boreal",100
"SE0820615","Boreal",100
"SE0820616","Boreal",100
"SE0820617","Boreal",100
"SE0820618","Boreal",100
"SE0820619","Alpine",100
"SE0820620","Alpine",100
"SE0820621","Alpine",100
"SE0820623","Alpine",100
"SE0820624","Boreal",100
"SE0820626","Boreal",100
"SE0820627","Boreal",100
"SE0820628","Boreal",100
"SE0820629","Boreal",100
"SE0820631","Boreal",100
"SE0820701","Boreal",100
"SE0820702","Boreal",100
"SE0820703","Boreal",100
"SE0820704","Boreal",100
"SE0820705","Boreal",100
"SE0820706","Boreal",100
"SE0820707","Boreal",100
"SE0820708","Boreal",100
"SE0820709","Boreal",100
"SE0820710","Boreal",100
"SE0820711","Boreal",100
"SE0820712","Boreal",100
"SE0820713","Boreal",100
"SE0820714","Alpine",100
"SE0820715","Boreal",100
"SE0820716","Boreal",100
"SE0820717","Boreal",100
"SE0820718","Boreal",100
"SE0820719","Boreal",100
"SE0820720","Boreal",100
"SE0820721","Boreal",100
"SE0820722","Alpine",48.02
"SE0820722","Boreal",51.98
"SE0820723","Boreal",100
"SE0820724","Boreal",100
"SE0820725","Boreal",100
"SE0820726","Boreal",100
"SE0820727","Boreal",100
"SE0820728","Boreal",100
"SE0820729","Boreal",100
"SE0820730","Boreal",100
"SE0820731","Boreal",100
"SE0820732","Boreal",100
"SE0820733","Boreal",100
"SE0820734","Boreal",100
"SE0820735","Boreal",100
"SE0820736","Boreal",100
"SE0820737","Alpine",71.28
"SE0820737","Boreal",28.72
"SE0820738","Boreal",100
"SE0820739","Boreal",100
"SE0820740","Boreal",100
"SE0820741","Boreal",100
"SE0820742","Boreal",100
"SE0820743","Boreal",100
"SE0820744","Boreal",100
"SE0820745","Boreal",100
"SE0820746","Boreal",100
"SE0820747","Boreal",100
"SE0820748","Boreal",100
"SE0820749","Boreal",100
"SE0820750","Boreal",100
"SE0820751","Boreal",100
"FI0316004","Boreal",
"FI0316005","Boreal",
"FI0316007","Boreal",
"FI0316008","Boreal",
"FI0317001","Boreal",
"FI0318001","Boreal",
"FI0318002","Boreal",
"FI0319002","Boreal",
"FI0319003","Boreal",
"FI0319004","Boreal",
"FI0320001","Boreal",
"FI0320002","Boreal",
"FI0321001","Boreal",
"FI0321002","Boreal",
"FI0321003","Boreal",
"FI0321004","Boreal",
"FI0321007","Boreal",
"FI0321008","Boreal",
"FI0321009","Boreal",
"FI0321010","Boreal",
"FI0323001","Boreal",
"FI0324001","Boreal",
"FI0324002","Boreal",
"FI0325001","Boreal",
"FI0325002","Boreal",
"FI0325006","Boreal",
"FI0325007","Boreal",
"FI0325008","Boreal",
"FI0325009","Boreal",
"FI0326001","Boreal",
"FI0326003","Boreal",
"FI0327002","Boreal",
"FI0327003","Boreal",
"FI0327004","Boreal",
"FI0327006","Boreal",
"FI0327007","Boreal",
"FI0327008","Boreal",
"FI0328001","Boreal",
"FI0328004","Boreal",
"FI0328005","Boreal",
"FI0329001","Boreal",
"FI0329002","Boreal",
"FI0331002","Boreal",
"FI0333001","Boreal",
"FI0333003","Boreal",
"FI0333004","Boreal",
"FI0333006","Boreal",
"FI0334001","Boreal",
"FI0334003","Boreal",
"FI0334004","Boreal",
"FI0335001","Boreal",
"FI0335003","Boreal",
"FI0335004","Boreal",
"FI0335006","Boreal",
"FI0335007","Boreal",
"FI0335009","Boreal",
"FI0335010","Boreal",
"FI0336001","Boreal",
"FI0336002","Boreal",
"FI0336003","Boreal",
"FI0401008","Boreal",
"FI0401009","Boreal",
"FI0401010","Boreal",
"FI0401011","Boreal",
"FI0401012","Boreal",
"FI0403001","Boreal",
"FI0403002","Boreal",
"FI0403003","Boreal",
"FI0404001","Boreal",
"FI0404002","Boreal",
"FI0404004","Boreal",
"FI0404006","Boreal",
"FI0404007","Boreal",
"FI0404008","Boreal",
"FI0404009","Boreal",
"FI0404011","Boreal",
