"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0100060","","","Metsähallitus/Etelärannikon puistoalue PL 9401301 VantaaUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
"FI0100061","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100062","","","Uudenmaan ympäristökeskus PL 3600521 HelsinkiHelsingin kaupungin ympäristökeskusHelsinginkatu 2400530 Helsinki","","","","","","",""
"FI0100063","","","Uudenmaan ympäristökeskus PL 3600521 HelsinkiHelsingin kaupungin ympäristökeskusHelsinginkatu 2400530 Helsinki","","","","","","",""
"FI0100064","","","Uudenmaan ympäristökeskus PL 3600521 HelsinkiVantaan kaupungin ympäristökeskusViertolankuja 4 A01300 Vantaa","","","","","","",""
"FI0100065","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100066","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100067","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100068","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100069","","","Uudenmaan ympäristökeskus Ylitarkastaja Leena EerolaPL 3600521 HelsinkiMetsähallitus / Etelä-Suomen luontopalvelutPL 9401301 Vantaa","","","","","","",""
"FI0100070","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100071","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100072","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100073","","","Hämeen ympäristökeskus PL 13113101 Hämeenlinna","","","","","","",""
"FI0100074","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100075","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100076","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100077","","","Metsähallitus/Etelärannikon puistoalue Pl 9401301 VantaaUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
"FI0100078","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100079","","","Metsäntutkimuslaitos PL 1801301 VantaaUudenmaan ympäristökeskusPL 3600521 Helsinki","","","","","","",""
"FI0100080","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100081","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100082","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100083","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100085","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100086","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100088","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100089","","","Uudenmaan ympäristökeskus PL 3600521 Helsinki","","","","","","",""
"FI0100090","","","Uudenmaan ympäristökeskus PL 36 00521 Helsinki","","","","","","",""
"FI0100091","","","Metsähallitus, Etelä-Suomen luontopalvelut PL 9401301 VANTAA","","","","","","",""
"FI0100092","","","Uudenmaan ympäristökeskus Ylitarkastaja Ilpo HuolmanPL 3600521 HELSINKI","","","","","","",""
"FI0100093","","","Uudenmaan ympäristökeskus Ylitarkastaja Leena EerolaPL 3600521 HELSINKI","","","","","","",""
