"DIRECTIVE","SPECIESNAME","ANNEXII","ANNEXII1","ANNEXII2","ANNEXIII1","ANNEXIII2","ANNEXIV","ANNEXV","SPBCAX1"
"Birds Directive","Calandrella brachydactyla","Y","N","N","N","N","","",""
"Birds Directive","Calandrella rufescens","N","N","N","N","N","","",""
"Birds Directive","Calcarius lapponicus","N","N","N","N","N","","",""
"Birds Directive","Calidris alba","N","N","N","N","N","","",""
"Birds Directive","Calidris alpina","N","N","N","N","N","","",""
"Birds Directive","Calidris alpina schinzii","Y","N","N","N","N","","",""
"Birds Directive","Calidris canutus","N","N","Y","N","N","","",""
"Birds Directive","Calidris ferruginea","N","N","N","N","N","","",""
"Birds Directive","Calidris fuscicollis","N","N","N","N","N","","",""
"Birds Directive","Calidris maritima","N","N","N","N","N","","",""
"Birds Directive","Calidris mauri","N","N","N","N","N","","",""
"Birds Directive","Calidris minuta","N","N","N","N","N","","",""
"Birds Directive","Calidris pusilla","N","N","N","N","N","","",""
"Birds Directive","Calidris temminckii","N","N","N","N","N","","",""
"Birds Directive","Calonectris diomedea","Y","N","N","N","N","","",""
"Birds Directive","Caprimulgus europaeus","Y","N","N","N","N","","",""
"Birds Directive","Caprimulgus ruficollis","N","N","N","N","N","","",""
"Birds Directive","Carduelis cannabina","N","N","N","N","N","","",""
"Birds Directive","Carduelis carduelis","N","N","N","N","N","","",""
"Birds Directive","Carduelis chloris","N","N","N","N","N","","",""
"Birds Directive","Carduelis flammea","N","N","N","N","N","","",""
"Birds Directive","Carduelis flavirostris","N","N","N","N","N","","",""
"Birds Directive","Carduelis hornemanni","N","N","N","N","N","","",""
"Birds Directive","Carduelis spinus","N","N","N","N","N","","",""
"Birds Directive","Carpodacus erythrinus","N","N","N","N","N","","",""
"Birds Directive","Cepphus grylle","N","N","N","N","N","","",""
"Birds Directive","Cercotrichas galactotes","N","N","N","N","N","","",""
"Birds Directive","Certhia brachydactyla","N","N","N","N","N","","",""
"Birds Directive","Certhia brachydactyla dorotheae","Y","N","N","N","N","","",""
"Birds Directive","Certhia familiaris","N","N","N","N","N","","",""
"Birds Directive","Ceryle rudis","N","N","N","N","N","","",""
"Birds Directive","Cettia cetti","N","N","N","N","N","","",""
"Birds Directive","Charadrius alexandrinus","Y","N","N","N","N","","",""
"Birds Directive","Charadrius asiaticus","N","N","N","N","N","","",""
"Birds Directive","Charadrius dubius","N","N","N","N","N","","",""
"Birds Directive","Charadrius hiaticula","N","N","N","N","N","","",""
"Birds Directive","Charadrius leschenaultii","N","N","N","N","N","","",""
"Birds Directive","Charadrius morinellus","Y","N","N","N","N","","",""
"Birds Directive","Chersophilus duponti","Y","N","N","N","N","","",""
"Birds Directive","Chlamydotis undulata","Y","N","N","N","N","","",""
"Birds Directive","Chlidonias hybridus","Y","N","N","N","N","","",""
"Birds Directive","Chlidonias leucopterus","N","N","N","N","N","","",""
"Birds Directive","Chlidonias niger","Y","N","N","N","N","","",""
"Birds Directive","Chrysolophus pictus","N","N","N","N","N","","",""
"Birds Directive","Ciconia ciconia","Y","N","N","N","N","","",""
"Birds Directive","Ciconia nigra","Y","N","N","N","N","","",""
"Birds Directive","Cinclus cinclus","N","N","N","N","N","","",""
"Birds Directive","Circaetus gallicus","Y","N","N","N","N","","",""
"Birds Directive","Circus aeruginosus","Y","N","N","N","N","","",""
"Birds Directive","Circus cyaneus","Y","N","N","N","N","","",""
"Birds Directive","Circus macrourus","Y","N","N","N","N","","",""
"Birds Directive","Circus pygargus","Y","N","N","N","N","","",""
"Birds Directive","Cisticola juncidis","N","N","N","N","N","","",""
"Birds Directive","Clamator glandarius","N","N","N","N","N","","",""
"Birds Directive","Clangula hyemalis","N","N","Y","N","N","","",""
"Birds Directive","Coccothraustes coccothraustes","N","N","N","N","N","","",""
"Birds Directive","Coccyzus americanus","N","N","N","N","N","","",""
"Birds Directive","Columba bollii","Y","N","N","N","N","","",""
"Birds Directive","Columba junoniae","Y","N","N","N","N","","",""
"Birds Directive","Columba livia","N","Y","N","N","N","","",""
"Birds Directive","Columba oenas","N","N","Y","N","N","","",""
"Birds Directive","Columba palumbus","N","Y","N","Y","N","","",""
"Birds Directive","Columba palumbus azorica","Y","N","N","N","N","","",""
"Birds Directive","Columba trocaz","Y","N","N","N","N","","",""
"Birds Directive","Coracias garrulus","Y","N","N","N","N","","",""
"Birds Directive","Corvus corax","N","N","N","N","N","","",""
"Birds Directive","Corvus corone","N","N","Y","N","N","","",""
"Birds Directive","Corvus frugilegus","N","N","Y","N","N","","",""
"Birds Directive","Corvus monedula","N","N","Y","N","N","","",""
"Birds Directive","Coturnix coturnix","N","N","Y","N","N","","",""
"Birds Directive","Crex crex","Y","N","N","N","N","","",""
"Birds Directive","Cuculus canorus","N","N","N","N","N","","",""
"Birds Directive","Cursorius cursor","Y","N","N","N","N","","",""
"Birds Directive","Cyanopica cyana","N","N","N","N","N","","",""
"Birds Directive","Cygnus columbianus bewickii","Y","N","N","N","N","","",""
"Birds Directive","Cygnus cygnus","Y","N","N","N","N","","",""
"Birds Directive","Cygnus olor","N","N","Y","N","N","","",""
"Birds Directive","Delichon urbica","N","N","N","N","N","","",""
"Birds Directive","Dendrocopos leucotos","Y","N","N","N","N","","",""
"Birds Directive","Dendrocopos major","N","N","N","N","N","","",""
"Birds Directive","Dendrocopos major canariensis","Y","N","N","N","N","","",""
"Birds Directive","Dendrocopos major thanneri","Y","N","N","N","N","","",""
"Birds Directive","Dendrocopos medius","Y","N","N","N","N","","",""
"Birds Directive","Dendrocopos minor","N","N","N","N","N","","",""
"Birds Directive","Dendrocopos syriacus","Y","N","N","N","N","","",""
"Birds Directive","Dryocopus martius","Y","N","N","N","N","","",""
"Birds Directive","Egretta alba","Y","N","N","N","N","","",""
"Birds Directive","Egretta garzetta","Y","N","N","N","N","","",""
"Birds Directive","Elanus caeruleus","Y","N","N","N","N","","",""
"Birds Directive","Emberiza aureola","N","N","N","N","N","","",""
"Birds Directive","Emberiza caesia","Y","N","N","N","N","","",""
"Birds Directive","Emberiza cia","N","N","N","N","N","","",""
"Birds Directive","Emberiza cineracea","Y","N","N","N","N","","",""
"Birds Directive","Emberiza cirlus","N","N","N","N","N","","",""
"Birds Directive","Emberiza citrinella","N","N","N","N","N","","",""
"Birds Directive","Emberiza hortulana","Y","N","N","N","N","","",""
"Birds Directive","Emberiza leucocephala","N","N","N","N","N","","",""
"Birds Directive","Emberiza melanocephala","N","N","N","N","N","","",""
"Birds Directive","Emberiza pusilla","N","N","N","N","N","","",""
"Birds Directive","Emberiza rustica","N","N","N","N","N","","",""
"Birds Directive","Emberiza schoeniclus","N","N","N","N","N","","",""
"Birds Directive","Eremophila alpestris","N","N","N","N","N","","",""
"Birds Directive","Erithacus rubecula","N","N","N","N","N","","",""
"Birds Directive","Estrilda astrild","N","N","N","N","N","","",""
"Birds Directive","Falco biarmicus","Y","N","N","N","N","","",""
"Birds Directive","Falco cherrug","Y","N","N","N","N","","",""
"Birds Directive","Falco columbarius","Y","N","N","N","N","","",""
"Birds Directive","Falco eleonorae","Y","N","N","N","N","","",""
"Birds Directive","Falco naumanni","Y","N","N","N","N","","",""
"Birds Directive","Falco pelegrinoides","N","N","N","N","N","","",""
"Birds Directive","Falco peregrinus","Y","N","N","N","N","","",""
"Birds Directive","Falco rusticolus","Y","N","N","N","N","","",""
"Birds Directive","Falco subbuteo","N","N","N","N","N","","",""
"Birds Directive","Falco tinnunculus","N","N","N","N","N","","",""
"Birds Directive","Falco vespertinus","Y","N","N","N","N","","",""
"Birds Directive","Ficedula albicollis","Y","N","N","N","N","","",""
"Birds Directive","Ficedula hypoleuca","N","N","N","N","N","","",""
"Birds Directive","Ficedula parva","Y","N","N","N","N","","",""
"Birds Directive","Ficedula semitorquata","Y","N","N","N","N","","",""
"Birds Directive","Francolinus francolinus","N","N","Y","N","N","","",""
"Birds Directive","Fratercula arctica","N","N","N","N","N","","",""
"Birds Directive","Fringilla coelebs","N","N","N","N","N","","",""
"Birds Directive","Fringilla coelebs ombriosa","Y","N","N","N","N","","",""
"Birds Directive","Fringilla montifringilla","N","N","N","N","N","","",""
"Birds Directive","Fringilla teydea","Y","N","N","N","N","","",""
"Birds Directive","Fulica atra","N","Y","N","N","Y","","",""
"Birds Directive","Fulica cristata","Y","N","N","N","N","","",""
"Birds Directive","Fulmarus glacialis","N","N","N","N","N","","",""
"Birds Directive","Galerida cristata","N","N","N","N","N","","",""
"Birds Directive","Galerida malabarica","N","N","N","N","N","","",""
"Birds Directive","Galerida theklae","Y","N","N","N","N","","",""
"Birds Directive","Gallinago gallinago","N","Y","N","N","Y","","",""
"Birds Directive","Gallinago media","Y","N","N","N","N","","",""
"Birds Directive","Gallinula chloropus","N","N","Y","N","N","","",""
"Birds Directive","Garrulus glandarius","N","N","Y","N","N","","",""
"Birds Directive","Gavia adamsii","N","N","N","N","N","","",""
"Birds Directive","Gavia arctica","Y","N","N","N","N","","",""
"Birds Directive","Gavia immer","Y","N","N","N","N","","",""
"Birds Directive","Gavia stellata","Y","N","N","N","N","","",""
"Birds Directive","Gelochelidon nilotica","Y","N","N","N","N","","",""
"Birds Directive","Geronticus eremita","N","N","N","N","N","","",""
"Birds Directive","Glareola nordmanni","N","N","N","N","N","","",""
"Birds Directive","Glareola pratincola","Y","N","N","N","N","","",""
"Birds Directive","Glaucidium passerinum","Y","N","N","N","N","","",""
"Birds Directive","Grus grus","Y","N","N","N","N","","",""
"Birds Directive","Gypaetus barbatus","Y","N","N","N","N","","",""
"Birds Directive","Gyps fulvus","Y","N","N","N","N","","",""
"Birds Directive","Haematopus moquini","N","N","N","N","N","","",""
"Birds Directive","Haematopus ostralegus","N","N","Y","N","N","","",""
"Birds Directive","Halcyon smyrnensis","N","N","N","N","N","","",""
"Birds Directive","Haliaeetus albicilla","Y","N","N","N","N","","",""
"Birds Directive","Hieraaetus fasciatus","Y","N","N","N","N","","",""
"Birds Directive","Hieraaetus pennatus","Y","N","N","N","N","","",""
"Birds Directive","Himantopus himantopus","Y","N","N","N","N","","",""
"Birds Directive","Hippolais icterina","N","N","N","N","N","","",""
"Birds Directive","Hippolais olivetorum","Y","N","N","N","N","","",""
